ID,Name,Employer,Salary From,Salary To,City,URL
110958456,Бизнес-ассистент,Онлайн-школа №1,80000,,Санкт-Петербург,https://hh.ru/vacancy/110958456
115044792,Media Buyer Facebook Ads (Gambling),Павлова Дарья Евгеньевна,110000,,Москва,https://hh.ru/vacancy/115044792
114960970,Руководитель отдела продаж,ХотЛабс,200000,500000,Москва,https://hh.ru/vacancy/114960970
115116777,Стажер-аналитик (AI-помощники КИБ),СБЕР,,,Москва,https://hh.ru/vacancy/115116777
115050731,AI/Data Specialist (Эксперт по AI/ML / Data Ops),Медэк Старз Интернешнл,180000,300000,Москва,https://hh.ru/vacancy/115050731
115034045,Монтажёр/ Контент-креатор,Vertical Choice LTD,600,900,Санкт-Петербург,https://hh.ru/vacancy/115034045
113156809,Менеджер контроля качества в отделе продаж (удаленно),Университет искусственного интеллекта,50000,,Санкт-Петербург,https://hh.ru/vacancy/113156809
113881140,Менеджер ОКК в IT-компанию,JVO.ru,70000,,Москва,https://hh.ru/vacancy/113881140
114408674,Junior Python Backend Developer,Broad Apps,,,Санкт-Петербург,https://hh.ru/vacancy/114408674
114177279,Младший разработчик,Doczilla,,,Москва,https://hh.ru/vacancy/114177279
111232444,Prompt Engineer / Промпт Инженер в AI фонд,Панов Виктор Николаевич,,,Москва,https://hh.ru/vacancy/111232444
112877993,Видеомонтажер для YouTube Shorts и Reels,Маркетинговое агентство Кимсан,40000,60000,Москва,https://hh.ru/vacancy/112877993
112716735,Промт-инженер в AI проекты,EORA,60000,80000,Москва,https://hh.ru/vacancy/112716735
113170124,Методист (удаленно),Университет искусственного интеллекта,30000,,Москва,https://hh.ru/vacancy/113170124
114932374,Python Backend разработчик,ЭдПро,120000,150000,Санкт-Петербург,https://hh.ru/vacancy/114932374
112687335,Quality Assurance Engineer | QA | Тестировщик,Rubius,,,Томск,https://hh.ru/vacancy/112687335
115010738,Продюсер (YouTube канал про AI) REMOTE,LessLens,223000,,Санкт-Петербург,https://hh.ru/vacancy/115010738
114706200,Редактор Субтитров | Видеомонтажер (Lip-sync озвучки),Санатов Даулет,40000,50000,Москва,https://hh.ru/vacancy/114706200
111811536,Специалист по тестированию ПО/QA,Центр 2М,,,Москва,https://hh.ru/vacancy/111811536
114170666,"Юрист (юрисконсульт, IT-юрист)",Ботхаб,,200000,Екатеринбург,https://hh.ru/vacancy/114170666
114838467,AI Designer / Нейродизайнер,Broad Apps,,,Санкт-Петербург,https://hh.ru/vacancy/114838467
112173516,Старший менеджер по работе с ключевыми клиентами,СБЕР,217100,,Москва,https://hh.ru/vacancy/112173516
114838467,AI Designer / Нейродизайнер,Broad Apps,,,Санкт-Петербург,https://hh.ru/vacancy/114838467
115035995,Бухгалтер на участок банк-клиент,Гибрид,,,Тамбов,https://hh.ru/vacancy/115035995
115005159,Бизнес-ассистент (удаленно),Школа психологии и маркетинга (Сухарева Анастасия Александровна),20000,60000,Ярославль,https://hh.ru/vacancy/115005159
114171277,AI-тренер / Редактор,СБЕР,67900,,Воронеж,https://hh.ru/vacancy/114171277
114576635,Начинающий специалист по информационной безопасности (ИБ),Rubius,,,Томск,https://hh.ru/vacancy/114576635
112553155,Маркетолог (удалённо),Джет Пак,120000,170000,Ростов-на-Дону,https://hh.ru/vacancy/112553155
114667925,Customer Success Manager,getmatch,160000,,Москва,https://hh.ru/vacancy/114667925
113300124,Стажер в Центр исследований Сбера,СБЕР,,,Москва,https://hh.ru/vacancy/113300124
112713428,Специалист по кадрам (КДП),Дабл Ап,75000,,Ростов-на-Дону,https://hh.ru/vacancy/112713428
114170675,AI-тренер/Англоязычный редактор-переводчик,СБЕР,78000,,Воронеж,https://hh.ru/vacancy/114170675
112259444,Маркетолог,MAIA,50000,150000,Екатеринбург,https://hh.ru/vacancy/112259444
113876627,Менеджер по развитию малого бизнеса,СБЕР,92800,,Тюмень,https://hh.ru/vacancy/113876627
115025825,Менеджер продукта,Natrium AI,,,Москва,https://hh.ru/vacancy/115025825
112742844,Project manager,СБЕР,,,Москва,https://hh.ru/vacancy/112742844
114962973,QA engineer (финтех/банковская сфера),WMT,,,Москва,https://hh.ru/vacancy/114962973
114012442,Личный помощник руководителя,СБЕР,,,Санкт-Петербург,https://hh.ru/vacancy/114012442
114981620,Product manager (AI продукт),Рокет Тех,,,Москва,https://hh.ru/vacancy/114981620
